id_passagem,cpf_cliente,id_voo,data,poltrona,classe,preco
P00433,62135074934,V0257,2025-04-17,36E,Econômica,658.56
P00434,26079854392,V0168,2025-04-28,4B,Executiva,728.89
P00435,86902431515,V0099,2025-04-26,29F,Executiva,533.79
P00436,57894306274,V0574,2025-05-10,36C,Executiva,317.85
P00437,37586912068,V0360,2025-04-13,44E,Econômica,819.17
P00438,70892341696,V0665,2025-04-25,35B,Executiva,619.6
P00439,20493715860,V0523,2025-04-24,32F,Executiva,1100.67
P00440,94783062510,V0629,2025-04-21,19D,Econômica,1081.43
P00441,83041795639,V0828,2025-04-16,22D,Executiva,1064.01
P00442,37465092116,V0082,2025-05-07,11C,Econômica,582.13
P00443,17085293659,V0299,2025-04-21,46C,Executiva,544.12
P00444,12085467911,V0800,2025-04-26,24F,Executiva,672.59
P00445,98235470683,V0875,2025-04-24,2B,Econômica,895.82
P00446,14092675801,V0762,2025-05-03,45F,Econômica,489.51
P00447,30287961478,V0106,2025-05-11,7A,Executiva,793.59
P00448,35876140244,V0790,2025-04-30,26E,Econômica,393.54
P00449,21764580958,V0160,2025-04-22,6F,Executiva,578.43
P00450,15648729049,V0756,2025-04-16,19D,Econômica,418.15
P00451,72386950140,V0175,2025-04-13,2A,Executiva,1074.33
P00452,58239016405,V0885,2025-04-19,31D,Executiva,793.69
P00453,41359728023,V0993,2025-05-10,45E,Econômica,831.75
P00454,84012953605,V0647,2025-05-05,48F,Executiva,771.11
P00455,30421986506,V0547,2025-05-05,20C,Executiva,785.7
P00456,35280694142,V0092,2025-04-17,29C,Executiva,670.98
P00457,35872691491,V0311,2025-04-17,1A,Econômica,609.5
P00458,60942837592,V0548,2025-04-27,1F,Executiva,1152.26
P00459,32015764925,V0307,2025-04-12,1D,Executiva,837.3
P00460,72308946547,V0008,2025-05-01,36C,Econômica,670.56
P00461,71853249637,V0448,2025-04-19,26B,Econômica,943.44
P00462,41539278646,V0400,2025-05-10,25B,Executiva,371.29
P00463,56241397052,V0246,2025-04-17,34E,Executiva,556.21
P00464,62451039752,V0545,2025-05-04,18D,Econômica,1068.13
P00465,92861504749,V0140,2025-05-11,19A,Executiva,855.96
P00466,89157340250,V0718,2025-04-18,40D,Econômica,588.58
P00467,80537169466,V0051,2025-04-30,35A,Econômica,1175.1
P00468,30965781259,V0276,2025-04-28,9F,Executiva,954.4
P00469,83921406722,V0093,2025-04-15,10A,Executiva,495.47
P00470,69738201403,V0320,2025-05-03,32C,Executiva,927.24
P00471,23967081478,V0339,2025-04-22,6B,Econômica,539.85
P00472,47138059205,V0074,2025-04-19,35D,Econômica,472.97
P00473,46715389039,V0257,2025-05-06,25A,Econômica,1177.14
P00474,36527190859,V0255,2025-04-17,25D,Econômica,963.86
P00475,98602157312,V0204,2025-05-02,30F,Econômica,769.03
P00476,57193840223,V0485,2025-04-18,25F,Executiva,1142.59
P00477,82593406151,V0645,2025-05-11,47A,Econômica,527.98
P00478,12537094832,V0306,2025-04-16,13C,Econômica,1077.29
P00479,04672815994,V0997,2025-04-14,8B,Executiva,592.06
P00480,38617452080,V0814,2025-05-06,18E,Econômica,656.23
P00481,72315896428,V0010,2025-05-05,3E,Executiva,919.57
P00482,98267543155,V0381,2025-04-23,50A,Econômica,441.93
P00483,10364729813,V0703,2025-04-19,40C,Econômica,353.8
P00484,06318295470,V0158,2025-04-19,45E,Econômica,413.24
P00485,83921406722,V0325,2025-04-16,36F,Executiva,1024.97
P00486,12589370423,V0751,2025-05-10,13A,Executiva,622.35
P00487,96127853095,V0257,2025-05-08,3D,Executiva,803.12
P00488,26175840380,V0714,2025-04-23,32B,Econômica,789.26
P00489,47506893193,V0750,2025-05-01,30C,Econômica,361.99
P00490,98267543155,V0461,2025-05-09,19C,Executiva,708.67
P00491,04236159716,V0654,2025-04-15,33D,Econômica,1094.64
P00492,12895743088,V0878,2025-04-27,24E,Econômica,588.62
P00493,47831250662,V0675,2025-05-03,35D,Econômica,771.66
P00494,82576014380,V0785,2025-04-22,36B,Executiva,590.34
P00495,19630845270,V0330,2025-05-04,8A,Econômica,339.4
P00496,74280159360,V0133,2025-05-03,12A,Econômica,396.35
P00497,01697345875,V0102,2025-05-05,3E,Executiva,892.13
P00498,47056389210,V0639,2025-04-17,45E,Executiva,344.18
P00499,67021843526,V0621,2025-04-13,46A,Econômica,1137.19
P00500,57193840223,V0672,2025-04-29,32A,Executiva,1020.92
P00501,13879240604,V0370,2025-04-18,36F,Executiva,1039.82
P00502,02154768911,V0726,2025-05-09,4E,Executiva,776.12
P00503,03827549647,V0073,2025-05-06,20A,Econômica,1164.53
P00504,50946173206,V0104,2025-05-03,47B,Executiva,470.51
P00505,47056389210,V0673,2025-05-05,16E,Econômica,802.58
P00506,05738692195,V0426,2025-04-12,48A,Executiva,907.04
P00507,50623187930,V0682,2025-05-03,28A,Econômica,1013.22
P00508,16739840539,V0412,2025-04-26,33C,Econômica,780.51
P00509,38472095665,V0454,2025-04-28,23C,Executiva,1060.37
P00510,12638975095,V0783,2025-05-10,41D,Executiva,847.57
P00511,97162038530,V0559,2025-04-15,14D,Executiva,624.01
P00512,69350418215,V0459,2025-04-30,26A,Econômica,1184.66
P00513,39647582137,V0017,2025-04-21,34B,Executiva,305.91
P00514,54012937804,V0220,2025-04-14,21A,Executiva,1127.2
P00515,04613589720,V0570,2025-04-24,37E,Econômica,384.86
P00516,79140253805,V0365,2025-04-25,10B,Executiva,630.37
P00517,79430251805,V0256,2025-04-27,15C,Executiva,382.71
P00518,91782043640,V0583,2025-04-14,14F,Econômica,951.22
P00519,63079428510,V0495,2025-04-12,12D,Econômica,835.71
P00520,62135074934,V0039,2025-04-20,47E,Executiva,370.63
P00521,40628153970,V0944,2025-04-12,50C,Executiva,1091.81
P00522,21670539407,V0427,2025-04-18,8B,Econômica,870.5
P00523,02564187994,V0392,2025-04-30,4C,Econômica,587.38
P00524,51082973432,V0154,2025-05-07,21E,Econômica,437.88
P00525,20493715860,V0750,2025-04-23,26D,Econômica,499.88
P00526,24715890305,V0806,2025-05-09,26B,Econômica,602.55
P00527,38261507912,V0586,2025-05-05,48A,Executiva,536.3
P00528,08143295788,V0514,2025-05-08,28F,Econômica,985.83
P00529,39501278603,V0573,2025-05-11,13D,Executiva,887.02
P00530,97315248609,V0575,2025-04-13,40F,Econômica,518.08
P00531,25861073902,V0796,2025-04-22,28C,Econômica,401.28
P00532,98170423678,V0434,2025-04-27,24C,Econômica,588.66
P00533,78196205449,V0672,2025-04-28,2C,Econômica,1188.89
P00534,48067321507,V0842,2025-04-14,29E,Econômica,696.42
P00535,31785420941,V0838,2025-04-20,15B,Executiva,440.39
P00536,94176082585,V0874,2025-05-10,6A,Econômica,518.74
P00537,56784029194,V0949,2025-04-27,10C,Econômica,608.94
P00538,17605834993,V0114,2025-05-06,20D,Executiva,320.47
P00539,61395472025,V0758,2025-05-01,35B,Econômica,791.78
P00540,67830592195,V0265,2025-05-03,36D,Econômica,925.56
P00541,75392468047,V0019,2025-05-01,25E,Econômica,529.91
P00542,87361259030,V0291,2025-04-14,13F,Executiva,347.78
P00543,82067951467,V0968,2025-04-23,1A,Executiva,894.34
P00544,01847659357,V0873,2025-04-14,43C,Econômica,317.17
P00545,45923016761,V0905,2025-04-25,42D,Econômica,1181.81
P00546,26148379546,V0727,2025-04-12,7C,Executiva,1080.1
P00547,96781025449,V0091,2025-05-11,12B,Executiva,804.62
P00548,65213840906,V0023,2025-04-21,3B,Executiva,600.21
P00549,69207385112,V0763,2025-04-25,11A,Executiva,915.88
P00550,03417958288,V0641,2025-05-01,20B,Executiva,1030.7
P00551,56241397052,V0264,2025-05-04,25A,Executiva,503.02
P00552,89014263740,V0919,2025-04-28,26F,Econômica,379.02
P00553,54890612351,V0534,2025-04-26,44E,Econômica,675.6
P00554,49613785000,V0157,2025-04-15,28C,Executiva,704.25
P00555,70451283988,V0212,2025-05-08,42B,Econômica,1076.33
P00556,62739450125,V0706,2025-04-19,46E,Econômica,687.06
P00557,46532180726,V1000,2025-04-23,50B,Econômica,585.75
P00558,27958310668,V0546,2025-05-02,47A,Econômica,585.84
P00559,61348097566,V0150,2025-05-08,47A,Executiva,1092.12
P00560,98170423678,V0985,2025-05-06,27C,Executiva,971.05
P00561,52761489020,V0916,2025-04-16,41F,Executiva,436.76
P00562,51270634925,V0110,2025-04-14,9B,Econômica,986.2
P00563,02761948530,V0632,2025-04-15,18E,Econômica,836.72
P00564,29381540705,V0704,2025-04-23,2C,Econômica,919.33
P00565,32015764925,V0138,2025-05-08,33E,Executiva,940.82
P00566,53179240652,V0189,2025-04-18,25D,Executiva,423.76
P00567,62598340710,V0232,2025-05-03,3D,Econômica,1132.89
P00568,37561480253,V0423,2025-04-20,15F,Econômica,982.0
P00569,80315476966,V0182,2025-04-15,29E,Executiva,919.08
P00570,58472601307,V0469,2025-04-14,16D,Executiva,998.59
P00571,69487530193,V0753,2025-04-27,25F,Executiva,654.74
P00572,43697021869,V0761,2025-04-16,37E,Econômica,768.58
P00573,51946730866,V0468,2025-04-23,3B,Executiva,1185.45
P00574,89421563042,V0572,2025-04-23,25E,Econômica,470.87
P00575,16872435062,V0408,2025-04-25,20C,Executiva,449.84
P00576,49815762346,V0628,2025-04-30,4F,Econômica,717.22
P00577,41539278646,V0463,2025-04-14,6F,Econômica,461.79
P00578,65031872462,V0961,2025-04-16,45E,Econômica,653.76
P00579,47506893193,V0462,2025-05-08,2B,Executiva,831.28
P00580,65213840906,V0918,2025-04-27,13D,Econômica,525.07
P00581,03196824551,V0665,2025-04-19,46B,Econômica,382.07
P00582,89045372150,V0461,2025-04-19,41C,Econômica,771.44
P00583,70529638177,V0745,2025-04-12,33E,Econômica,640.81
P00584,75409621867,V0045,2025-04-16,50B,Executiva,808.94
P00585,76021594894,V0884,2025-04-23,10B,Econômica,460.98
P00586,65213840906,V0053,2025-05-07,27C,Executiva,957.15
P00587,83917054639,V0457,2025-05-08,19F,Econômica,405.8
P00588,70451283988,V0984,2025-04-20,13A,Executiva,310.99
P00589,82576014380,V0876,2025-04-29,32E,Econômica,847.19
P00590,40568192389,V0244,2025-04-23,14E,Executiva,708.36
P00591,25937864182,V0082,2025-04-20,39E,Econômica,520.24
P00592,86320749547,V0285,2025-04-13,40F,Econômica,344.03
P00593,80194257304,V0057,2025-05-08,42C,Econômica,430.84
P00594,61580274994,V0684,2025-04-21,37E,Executiva,598.0
P00595,61749023580,V0051,2025-04-15,7D,Econômica,445.2
P00596,83164590784,V0626,2025-04-30,43F,Econômica,1169.66
P00597,13642078508,V0593,2025-05-07,24A,Econômica,991.66
P00598,01538942704,V0378,2025-04-17,25A,Executiva,1058.98
P00599,84523061726,V0300,2025-05-01,31B,Econômica,925.16
P00600,81974502341,V0338,2025-04-22,34D,Econômica,926.25
P00601,02761948530,V0060,2025-05-02,7E,Econômica,735.3
P00602,23950467106,V0620,2025-04-12,46C,Executiva,847.96
P00603,16479503848,V0266,2025-04-23,34E,Executiva,1134.39
P00604,84176530235,V0577,2025-05-08,32E,Executiva,743.25
P00605,80327561408,V0905,2025-05-09,40B,Executiva,1181.33
P00606,24078915388,V0122,2025-04-16,2D,Econômica,963.72
P00607,06794521334,V0819,2025-05-05,40D,Executiva,340.94
P00608,65839742155,V0574,2025-04-23,41B,Econômica,876.56
P00609,54793018297,V0289,2025-04-30,17A,Executiva,570.26
P00610,16739840539,V0332,2025-05-11,50A,Econômica,917.25
P00611,89014263740,V0406,2025-04-12,47E,Econômica,1048.84
P00612,14738692003,V0339,2025-05-04,22F,Executiva,1124.55
P00613,85039641710,V0037,2025-05-06,42B,Executiva,439.85
P00614,79140253805,V0914,2025-05-10,35C,Executiva,1005.59
P00615,98170423678,V0951,2025-04-26,48A,Executiva,808.45
P00616,85134926719,V0324,2025-05-05,36E,Econômica,487.44
P00617,02396751859,V0340,2025-05-02,23A,Econômica,552.41
P00618,06578132490,V0348,2025-05-05,25F,Econômica,813.88
P00619,58932641773,V0192,2025-04-20,39A,Executiva,934.74
P00620,84732961509,V0727,2025-04-14,3C,Executiva,378.12
P00621,53268947000,V0244,2025-04-14,24D,Executiva,494.53
P00622,74210853607,V0180,2025-04-13,8C,Econômica,1000.01
P00623,70654813957,V0095,2025-04-29,29E,Econômica,1019.12
P00624,58490327629,V0513,2025-04-18,10B,Executiva,1131.27
P00625,02864571307,V0895,2025-04-15,34C,Executiva,428.97
P00626,05487623171,V0101,2025-04-24,34F,Econômica,484.67
P00627,58460391701,V0471,2025-04-16,25F,Econômica,303.7
P00628,48536927038,V0046,2025-04-14,44E,Econômica,599.96
P00629,04816739203,V0048,2025-05-05,7E,Executiva,320.23
P00630,03426517906,V0320,2025-04-12,41B,Executiva,480.5
P00631,91348625791,V0284,2025-05-04,35C,Executiva,904.01
P00632,47061538910,V0153,2025-04-17,11C,Econômica,313.73
P00633,46190382703,V0574,2025-05-03,33A,Econômica,788.28
P00634,02145687920,V0327,2025-04-23,18B,Executiva,816.67
P00635,82547160307,V0073,2025-04-25,20E,Executiva,786.52
P00636,65270981467,V0134,2025-05-09,2D,Econômica,395.33
P00637,14589763001,V0089,2025-04-29,28D,Econômica,934.21
P00638,05918374639,V0607,2025-04-13,41F,Executiva,854.68
P00639,16854093775,V0341,2025-05-07,13F,Econômica,1176.31
P00640,27036985429,V0783,2025-05-11,30E,Econômica,383.62
P00641,06829753465,V0942,2025-04-27,45D,Econômica,710.03
P00642,61942037570,V0660,2025-04-17,46D,Executiva,508.52
P00643,17095486301,V0148,2025-04-20,40C,Executiva,652.87
P00644,83149672546,V0940,2025-04-22,43C,Executiva,707.95
P00645,85026143989,V0067,2025-05-04,31A,Executiva,730.79
P00646,49238710597,V0175,2025-04-12,19C,Econômica,757.15
P00647,38427906196,V0838,2025-05-07,46A,Executiva,800.53
P00648,37519248682,V0812,2025-04-30,20E,Executiva,660.73
P00649,98170423678,V0245,2025-04-15,40B,Econômica,1176.5
P00650,70529638177,V0068,2025-04-17,22B,Executiva,1005.88
P00651,27094138687,V0581,2025-05-10,22E,Econômica,455.78
P00652,64852931089,V0080,2025-04-15,48F,Executiva,402.89
P00653,39647582137,V0475,2025-04-24,21E,Econômica,1039.82
P00654,38460295133,V0316,2025-04-26,26A,Econômica,916.96
P00655,39647582137,V0790,2025-04-29,25C,Executiva,880.49
P00656,13879240604,V0093,2025-04-24,14B,Econômica,981.37
P00657,03429781523,V0153,2025-04-29,29E,Executiva,650.98
P00658,15902846315,V0458,2025-05-02,13B,Executiva,569.76
P00659,02154768911,V0936,2025-05-11,44C,Executiva,946.01
P00660,69315480260,V0353,2025-05-04,6E,Econômica,850.34
P00661,96278153068,V0414,2025-04-18,9C,Econômica,632.3
P00662,02145687920,V0992,2025-05-11,4A,Executiva,398.73
P00663,30965781259,V0887,2025-05-01,2B,Executiva,932.0
P00664,86175923464,V0641,2025-04-28,21F,Executiva,665.43
P00665,27094138687,V0559,2025-04-28,14F,Econômica,727.38
P00666,51270634925,V0569,2025-04-30,25C,Executiva,438.84
P00667,95203486115,V0687,2025-04-17,9B,Econômica,364.57
P00668,58649132006,V0148,2025-05-11,47D,Executiva,1177.48
P00669,56207149343,V0087,2025-04-21,9F,Executiva,1074.14
P00670,23190457832,V0808,2025-05-04,45E,Executiva,860.92
P00671,37105692812,V0522,2025-05-02,28E,Executiva,646.24
P00672,26814503905,V0191,2025-05-06,28E,Econômica,820.14
P00673,21564380726,V0749,2025-04-15,16F,Executiva,669.75
P00674,52781346900,V0591,2025-04-23,24A,Econômica,811.33
P00675,05642371916,V0378,2025-05-03,8E,Executiva,1165.56
P00676,71385429682,V0146,2025-05-03,47F,Executiva,718.44
P00677,04382175607,V0536,2025-04-17,40A,Econômica,725.21
P00678,92058417305,V0680,2025-05-06,43A,Executiva,851.74
P00679,39270865177,V0352,2025-05-06,35A,Executiva,708.63
P00680,49735026856,V0481,2025-05-02,37F,Executiva,678.91
P00681,02765938474,V0818,2025-04-18,19C,Econômica,331.79
P00682,64301925805,V0612,2025-05-02,48C,Executiva,355.28
P00683,90241538750,V0593,2025-04-23,11E,Econômica,890.69
P00684,30461798204,V0829,2025-05-10,48E,Econômica,558.13
P00685,79031528404,V0130,2025-04-29,33A,Executiva,526.85
P00686,61397820403,V0288,2025-05-01,18C,Econômica,967.29
P00687,13726580417,V0179,2025-04-17,38F,Econômica,893.24
P00688,49206375199,V0828,2025-04-18,12C,Econômica,736.43
P00689,41739625846,V0541,2025-05-01,3C,Econômica,1170.61
P00690,48236905160,V0957,2025-04-30,10D,Executiva,993.33
P00691,84236175991,V0677,2025-05-03,29F,Econômica,489.77
P00692,03827549647,V0863,2025-05-08,23A,Executiva,979.94
P00693,75319064225,V0054,2025-04-22,11D,Executiva,728.61
P00694,38261507912,V0765,2025-04-13,49E,Econômica,641.82
P00695,39620785177,V0400,2025-04-30,31C,Econômica,777.4
P00696,27094138687,V0013,2025-04-29,19D,Executiva,910.64
P00697,83917054639,V0543,2025-05-06,44A,Econômica,1125.94
P00698,97014638203,V0363,2025-04-22,28E,Executiva,601.47
P00699,69784201313,V0822,2025-05-04,7C,Executiva,715.0
P00700,02319548670,V0768,2025-04-16,16F,Econômica,767.96
P00701,45630289756,V0707,2025-04-21,12C,Econômica,905.52
P00702,72691085368,V0070,2025-05-08,1D,Econômica,772.74
P00703,02396751859,V0457,2025-05-07,23B,Executiva,526.71
P00704,98602157312,V0025,2025-05-05,40A,Econômica,1144.65
P00705,83579201441,V0916,2025-04-25,14E,Econômica,937.27
P00706,41562809776,V0089,2025-04-14,39B,Executiva,890.76
P00707,31265804753,V0664,2025-04-20,37B,Econômica,926.09
P00708,70318645939,V0302,2025-04-18,30F,Econômica,874.9
P00709,83706154900,V0284,2025-04-22,50D,Executiva,531.6
P00710,38104926551,V0076,2025-04-26,18A,Executiva,649.73
P00711,87361259030,V0265,2025-04-30,17B,Executiva,362.46
P00712,31605978493,V0206,2025-04-15,40D,Econômica,880.93
P00713,03584617235,V0148,2025-04-26,35D,Econômica,852.57
P00714,62849503738,V0935,2025-04-26,29F,Executiva,392.96
P00715,80574693238,V0073,2025-04-30,37F,Executiva,999.51
P00716,76850349210,V0919,2025-04-30,32B,Econômica,1139.6
P00717,60593218795,V0400,2025-04-20,18B,Executiva,1114.16
P00718,32945708647,V0004,2025-05-05,33F,Executiva,730.33
P00719,49620573161,V0865,2025-05-02,47A,Econômica,302.98
P00720,49201865767,V0706,2025-04-21,50D,Econômica,810.52
P00721,52816490785,V0368,2025-04-22,22F,Executiva,660.55
P00722,02564187994,V0982,2025-04-12,42A,Executiva,781.16
P00723,02765938474,V0349,2025-04-26,6D,Executiva,883.01
P00724,38460295133,V0568,2025-04-17,3D,Econômica,568.98
P00725,06235987102,V0918,2025-04-15,7F,Executiva,737.85
P00726,45623971016,V0648,2025-05-04,29F,Econômica,425.95
P00727,62598340710,V0026,2025-05-02,47E,Econômica,740.31
P00728,47831250662,V0812,2025-04-16,35F,Executiva,749.72
P00729,27610453862,V0855,2025-04-26,29A,Econômica,605.36
P00730,71284650901,V0807,2025-04-20,47A,Executiva,406.37
P00731,36210958702,V0670,2025-04-16,43E,Executiva,1146.08
P00732,20491537670,V0896,2025-04-30,35B,Econômica,1132.33
P00733,58460391701,V0754,2025-04-21,10D,Econômica,724.1
P00734,73580216490,V0634,2025-04-26,3B,Econômica,312.93
P00735,02564187994,V0052,2025-05-06,20A,Executiva,850.1
P00736,26415790307,V0606,2025-04-23,5A,Econômica,747.43
P00737,41739625846,V0631,2025-04-17,15A,Econômica,683.59
P00738,51240368933,V0856,2025-05-11,48F,Executiva,591.81
P00739,69745802310,V0701,2025-05-01,37E,Econômica,589.43
P00740,61304789500,V0813,2025-05-07,14A,Econômica,601.95
P00741,96540138784,V0281,2025-05-02,10D,Econômica,926.67
P00742,84712639040,V0169,2025-04-22,29B,Econômica,420.03
P00743,14930587620,V0868,2025-05-02,41E,Executiva,999.9
P00744,58649132006,V0901,2025-04-24,32A,Econômica,306.5
P00745,48120965370,V0092,2025-05-05,46F,Executiva,674.6
P00746,36210958702,V0812,2025-04-13,50D,Econômica,485.54
P00747,83041795639,V0278,2025-04-24,34D,Executiva,515.33
P00748,89473612087,V0626,2025-04-30,45A,Econômica,945.48
P00749,02761948530,V0974,2025-04-27,6F,Executiva,613.07
P00750,21089456794,V0572,2025-04-30,16B,Econômica,1187.94
P00751,93486750283,V0634,2025-05-08,24E,Econômica,717.79
P00752,30925486710,V0676,2025-05-09,14C,Econômica,474.35
P00753,72308946547,V0153,2025-04-30,44D,Executiva,458.69
P00754,27901438622,V0945,2025-05-10,3A,Executiva,556.56
P00755,27094138687,V0258,2025-05-06,22E,Executiva,338.99
P00756,69314270831,V0054,2025-05-05,35B,Econômica,1006.94
P00757,32058761480,V0528,2025-04-13,8A,Econômica,949.26
P00758,32956018795,V0594,2025-04-22,21D,Econômica,972.38
P00759,61290358702,V0334,2025-04-30,15A,Executiva,505.0
P00760,18763925419,V0756,2025-05-08,27B,Executiva,1102.23
P00761,75638419039,V0483,2025-05-09,38D,Econômica,1101.44
P00762,94671380501,V0222,2025-04-23,40D,Econômica,648.6
P00763,56207149343,V0469,2025-04-12,47B,Executiva,1178.0
P00764,27639814537,V0344,2025-04-13,9A,Econômica,552.54
P00765,54962780310,V0873,2025-04-25,30D,Executiva,454.08
P00766,42960178530,V0226,2025-05-08,19E,Econômica,1010.59
P00767,12537094832,V0976,2025-04-22,40B,Econômica,377.83
P00768,53864019710,V0535,2025-05-05,32B,Executiva,1053.29
P00769,46587120326,V0015,2025-05-11,47D,Econômica,523.05
P00770,21670539407,V0594,2025-04-23,15E,Econômica,1122.38
P00771,61290358702,V0006,2025-05-01,27A,Econômica,1192.15
P00772,03827549647,V0788,2025-04-23,33A,Executiva,778.01
P00773,18234957023,V0830,2025-04-15,45A,Executiva,745.76
P00774,38706251986,V0572,2025-04-28,49A,Executiva,1154.94
P00775,10267485344,V0368,2025-05-09,19B,Econômica,314.34
P00776,64852931089,V0313,2025-04-20,11F,Executiva,1072.13
P00777,28514360906,V0598,2025-04-19,2D,Executiva,994.65
P00778,29480176378,V0721,2025-05-10,26B,Executiva,864.13
P00779,74698012511,V0649,2025-04-17,1F,Econômica,646.39
P00780,26079854392,V0341,2025-04-20,34A,Executiva,683.31
P00781,75368419228,V0715,2025-05-05,40E,Econômica,1008.92
P00782,04251687353,V0636,2025-04-14,22F,Econômica,763.26
P00783,40819273678,V0691,2025-04-30,24A,Econômica,644.66
P00784,19382740678,V0634,2025-04-28,3C,Executiva,457.74
P00785,85036291433,V0722,2025-05-11,5E,Econômica,424.57
P00786,43782591097,V0245,2025-04-22,35A,Executiva,963.64
P00787,82591463719,V0595,2025-04-25,45B,Econômica,588.42
P00788,61290358702,V0274,2025-04-15,33F,Executiva,549.43
P00789,47831250662,V0382,2025-04-14,23D,Executiva,751.31
P00790,89352604792,V0126,2025-04-24,31F,Executiva,706.78
P00791,26305189498,V0820,2025-04-14,44F,Econômica,469.52
P00792,47915628364,V0469,2025-04-30,6A,Executiva,1108.15
P00793,17039852497,V0982,2025-04-19,5A,Econômica,548.35
P00794,57964831020,V0152,2025-05-10,32B,Econômica,768.62
P00795,53179628030,V0024,2025-04-16,19D,Econômica,726.51
P00796,69738201403,V0455,2025-04-15,48F,Econômica,562.37
P00797,47831250662,V0023,2025-05-08,15E,Executiva,670.52
P00798,42960178530,V0672,2025-05-03,42C,Executiva,834.02
P00799,57964831020,V0543,2025-04-20,36D,Executiva,573.67
P00800,10267485344,V0920,2025-04-18,20B,Executiva,504.1
P00801,58439672128,V0995,2025-05-06,19A,Econômica,617.81
P00802,91273680502,V0980,2025-04-19,11E,Econômica,940.63
P00803,46809312722,V0187,2025-04-25,12F,Econômica,445.13
P00804,67904235838,V0043,2025-05-05,21E,Econômica,696.8
P00805,49206375199,V0189,2025-04-18,14E,Econômica,899.0
P00806,42907568167,V0152,2025-05-07,24D,Econômica,780.28
P00807,37586912068,V0943,2025-04-21,2D,Executiva,991.67
P00808,37065821471,V0470,2025-04-12,21B,Econômica,1173.14
P00809,52781346900,V1000,2025-04-16,33C,Executiva,726.52
P00810,24715890305,V0993,2025-05-08,49E,Econômica,1019.62
P00811,29017586303,V0929,2025-04-17,29C,Econômica,958.48
P00812,31265804753,V0042,2025-05-03,9F,Econômica,577.27
P00813,72408513626,V0633,2025-05-10,15D,Executiva,383.23
P00814,10346957206,V0623,2025-05-01,42B,Econômica,1003.16
P00815,08365219433,V0285,2025-04-14,13A,Econômica,784.57
P00816,56032974847,V0694,2025-05-05,43A,Executiva,475.01
P00817,71245309897,V0618,2025-04-28,39E,Econômica,1117.6
P00818,72384095188,V0408,2025-05-03,10F,Executiva,632.67
P00819,51638429006,V0013,2025-05-07,19C,Executiva,577.28
P00820,56032974847,V0896,2025-05-11,36A,Econômica,955.07
P00821,60271439599,V0760,2025-05-07,27D,Executiva,447.41
P00822,94176082585,V0994,2025-04-24,28F,Executiva,425.61
P00823,04983725105,V0613,2025-05-09,6B,Econômica,572.91
P00824,45923016761,V0538,2025-05-05,22A,Executiva,379.6
P00825,60235849189,V0655,2025-04-25,18D,Econômica,800.23
P00826,26189053424,V0582,2025-05-10,49B,Econômica,467.41
P00827,94783062510,V0297,2025-05-11,36D,Econômica,1040.52
P00828,74210853607,V0855,2025-05-03,38C,Executiva,803.35
P00829,29874356146,V0230,2025-05-11,2A,Econômica,536.41
P00830,40781596300,V0656,2025-04-14,41D,Econômica,888.43
P00831,41687593000,V0295,2025-04-27,27B,Executiva,1116.11
P00832,06318295470,V0251,2025-04-19,2A,Executiva,743.75
P00833,28973461087,V0069,2025-04-18,39F,Executiva,822.96
P00834,94256801324,V0447,2025-04-17,17F,Executiva,1176.83
P00835,28509734674,V0123,2025-05-05,24E,Econômica,1060.75
P00836,35068179493,V0596,2025-04-18,4B,Executiva,714.94
P00837,35247819691,V0139,2025-04-17,23B,Econômica,545.4
P00838,61237059895,V0652,2025-04-25,23A,Executiva,562.5
P00839,30421986506,V0959,2025-05-08,5E,Econômica,989.8
P00840,79630458101,V0784,2025-05-01,7E,Econômica,789.34
P00841,95203486115,V0324,2025-04-28,44C,Executiva,916.9
P00842,89342150624,V0372,2025-05-02,7E,Executiva,1040.98
P00843,95381427050,V0141,2025-04-29,34C,Executiva,1000.93
P00844,49520731814,V0349,2025-05-07,11A,Econômica,439.1
P00845,67021843526,V0852,2025-04-16,13E,Econômica,675.61
P00846,19324680560,V0079,2025-05-08,8B,Econômica,731.57
P00847,16854093775,V0708,2025-05-07,24B,Executiva,1100.75
P00848,79341852005,V0536,2025-04-16,49C,Econômica,938.91
P00849,64859713001,V0763,2025-04-12,8B,Econômica,1071.13
P00850,72369418087,V0705,2025-05-03,15C,Econômica,488.86
P00851,04382175607,V0436,2025-04-15,45A,Econômica,316.93
P00852,41796532819,V0776,2025-05-05,28A,Econômica,397.04
P00853,40127653961,V0676,2025-04-22,33E,Econômica,722.17
P00854,46532180726,V0260,2025-04-27,3A,Executiva,900.83
P00855,78513406244,V0099,2025-05-01,8E,Econômica,828.84
P00856,90548362106,V0190,2025-04-23,43C,Econômica,381.7
P00857,49238710597,V0765,2025-04-16,18E,Executiva,616.98
P00858,97215084620,V0513,2025-05-01,50F,Econômica,754.42
P00859,14350628924,V0102,2025-04-21,38A,Econômica,944.23
P00860,61304789500,V0289,2025-04-16,11E,Econômica,1176.22
P00861,64819032704,V0947,2025-04-20,14E,Executiva,629.82
P00862,01325679461,V0190,2025-05-10,29F,Econômica,462.76
P00863,03417958288,V0389,2025-05-04,28B,Econômica,666.82
P00864,17365984066,V0322,2025-04-29,8D,Econômica,767.75
P00865,05938472610,V0781,2025-04-29,24F,Executiva,801.42
P00866,78693405101,V0085,2025-05-03,21D,Econômica,646.3
